,Date,Open,Close,Volume,Change
0,2019-11-10,2969.5204717061897,2999.7426442043547,967803,1.02
1,2019-11-17,2731.2323891986434,2727.0379393332937,895803,-0.15
2,2019-11-24,2603.829132611425,2602.605173166622,883489,-0.05
3,2019-12-01,2889.5582510791605,2764.358492722478,784014,-4.33
4,2019-12-08,2485.5344181219,2440.5629747242824,901310,-1.81
5,2019-12-15,2338.083917859772,2341.985633015092,941243,0.17
6,2019-12-22,2365.450534370498,2394.8216013667943,1130966,1.24
7,2019-12-29,2467.831293436802,2441.6259375420223,621346,-1.06
8,2020-01-05,2419.712494531413,2385.221380294758,820799,-1.43
9,2020-01-12,2702.4299797401304,2780.2459077852964,979503,2.88
10,2020-01-19,2674.73722265328,2594.662602088122,967605,-2.99
11,2020-01-26,2378.059916575361,2181.52040991894,1028959,-8.26
12,2020-02-02,1952.541777267132,1973.0429075056504,1083886,1.05
13,2020-02-09,1903.8306062556967,1859.738347060033,1087846,-2.32
14,2020-02-16,1873.119704171822,1857.6925071774308,1027676,-0.82
15,2020-02-23,1822.2561482486503,1763.4228079137388,1124890,-3.23
16,2020-03-01,1638.520637500381,1611.0694212816934,1726072,-1.68
17,2020-03-08,1568.3269759902985,1539.8858025871425,1573963,-1.81
18,2020-03-15,1275.158207686104,1195.8337820727372,1982292,-6.22
19,2020-03-22,1085.8698218349753,1077.9203049488287,2160605,-0.73
20,2020-03-29,1038.0664329965916,1053.4887164279253,1905594,1.49
21,2020-04-05,967.7402409922992,929.8861389217376,1610411,-3.91
22,2020-04-12,933.8529989248392,927.0373099531524,1712098,-0.73
23,2020-04-19,1079.536545063855,1076.2312587968354,1471260,-0.31
24,2020-04-26,1032.2634801685108,1013.6650946777952,1457108,-1.8
25,2020-05-03,1045.2044330810402,1067.059268627425,1525107,2.09
26,2020-05-10,994.146963593776,1014.8782917641332,1343902,2.09
27,2020-05-17,1089.6303624820182,1089.7664585310313,1490878,0.01
28,2020-05-24,1109.0224463405964,1105.3774961956367,1471534,-0.33
29,2020-05-31,1103.273403975137,1071.4331786327878,1869498,-2.89
30,2020-06-07,1118.3672477009814,1135.2180086272042,1684568,1.51
31,2020-06-14,1193.6768149031996,1328.4498736288378,1801866,11.29
32,2020-06-21,3187.2500305996577,2784.650596636413,1692037,-12.63
33,2020-06-28,2753.7733577904182,2817.661052865204,1648642,2.32
